,train_type,epoch,model_q,human_q,win
0,u4_label_eig_qs_7e-6,1,0,0,0.5
1,u4_label_eig_qs_7e-6,1,1,0,0.5
2,u4_label_eig_qs_7e-6,1,0,1,0.5
3,u4_label_eig_qs_7e-6,1,0,1,0.0
4,u4_label_eig_qs_7e-6,1,0,1,0.5
5,u4_label_eig_qs_7e-6,1,1,1,0.0
6,u4_label_eig_qs_7e-6,1,0,1,0.5
7,u4_label_eig_qs_7e-6,1,0,0,0.5
8,u4_label_eig_qs_7e-6,1,0,0,0.5
9,u4_label_eig_qs_7e-6,1,0,0,0.5
10,u4_label_eig_qs_7e-6,1,0,0,0.5
11,u4_label_eig_qs_7e-6,1,1,1,0.5
12,u4_label_eig_qs_7e-6,1,0,0,0.5
13,u4_label_eig_qs_7e-6,1,0,1,0.5
14,u4_label_eig_qs_7e-6,1,0,1,0.5
15,u4_label_eig_qs_7e-6,1,1,0,0.0
16,u4_label_eig_qs_7e-6,1,0,0,0.5
17,u4_label_eig_qs_7e-6,1,0,1,0.5
18,u4_label_eig_qs_7e-6,1,0,0,0.5
19,u4_label_eig_qs_7e-6,1,0,0,0.5
20,u4_label_eig_qs_7e-6,1,0,0,0.5
21,u4_label_eig_qs_7e-6,1,1,1,0.0
22,u4_label_eig_qs_7e-6,1,0,0,0.5
23,u4_label_eig_qs_7e-6,1,0,1,0.5
24,u4_label_eig_qs_7e-6,1,0,0,0.5
25,u4_label_eig_qs_7e-6,1,1,0,1.0
26,u4_label_eig_qs_7e-6,1,0,0,0.5
27,u4_label_eig_qs_7e-6,1,0,0,0.5
28,u4_label_eig_qs_7e-6,1,0,0,0.5
29,u4_label_eig_qs_7e-6,1,0,1,0.5
30,u4_label_eig_qs_7e-6,1,0,0,0.5
31,u4_label_eig_qs_7e-6,1,0,1,0.5
32,u4_label_eig_qs_7e-6,1,0,1,0.5
33,u4_label_eig_qs_7e-6,1,0,0,0.5
34,u4_label_eig_qs_7e-6,1,1,1,1.0
35,u4_label_eig_qs_7e-6,1,0,0,0.5
36,u4_label_eig_qs_7e-6,1,1,1,1.0
37,u4_label_eig_qs_7e-6,1,1,1,0.5
38,u4_label_eig_qs_7e-6,1,0,0,0.5
39,u4_label_eig_qs_7e-6,1,0,0,1.0
40,u4_label_eig_qs_7e-6,1,0,1,0.5
41,u4_label_eig_qs_7e-6,1,0,0,0.5
42,u4_label_eig_qs_7e-6,1,0,1,0.5
43,u4_label_eig_qs_7e-6,1,0,0,0.5
44,u4_label_eig_qs_7e-6,1,0,0,0.5
45,u4_label_eig_qs_7e-6,1,0,1,0.5
46,u4_label_eig_qs_7e-6,1,0,0,0.5
47,u4_label_eig_qs_7e-6,1,0,0,0.5
48,u4_label_eig_qs_7e-6,1,0,0,0.5
49,u4_label_eig_qs_7e-6,1,0,1,0.5
