[2024-07-08 09:26:48,666][root][INFO] - Computing EIG. Start Prompt: 0. End Prompt: 200
Saving to: data/expected_info_gain/10k/hai_start_0_end_200_n_user_2_seed_0_1.json
Convo file: data/conversations/10k/hai_start_0_end_200_n_user_2_seed_0_1.json
N_USER: 2
INFO 07-08 09:26:48 llm_engine.py:79] Initializing an LLM engine with config: model='meta-llama/Meta-Llama-3-8B-Instruct', tokenizer='meta-llama/Meta-Llama-3-8B-Instruct', tokenizer_mode=auto, revision=None, tokenizer_revision=None, trust_remote_code=False, dtype=torch.bfloat16, max_seq_len=8192, download_dir='/scr/jphilipp/stargate/pretrained_models/Meta-Llama-3-8B-Instruct', load_format=auto, tensor_parallel_size=1, disable_custom_all_reduce=False, quantization=None, enforce_eager=False, kv_cache_dtype=auto, device_config=cuda, seed=0)
INFO 07-08 09:26:51 weight_utils.py:163] Using model weights format ['*.safetensors']
INFO 07-08 09:26:56 llm_engine.py:337] # GPU blocks: 27885, # CPU blocks: 2048
INFO 07-08 09:26:57 model_runner.py:666] Capturing the model for CUDA graphs. This may lead to unexpected consequences if the model is not static. To run the model in eager mode, set 'enforce_eager=True' or use '--enforce-eager' in the CLI.
INFO 07-08 09:26:57 model_runner.py:670] CUDA graphs can take additional 1~3 GiB memory per GPU. If you are running out of memory, consider decreasing `gpu_memory_utilization` or enforcing eager mode. You can also reduce the `max_num_seqs` as needed to decrease memory usage.
INFO 07-08 09:27:00 model_runner.py:738] Graph capturing finished in 3 secs.
[2024-07-08 09:27:46,213][root][INFO] - 0.0005603916827876532
[2024-07-08 09:27:46,214][root][INFO] - 0.0005235785886064104
[2024-07-08 09:27:46,214][root][INFO] - 0.0005853669072957146
[2024-07-08 09:27:46,214][root][INFO] - 0.0009886079446722595
[2024-07-08 09:27:46,215][root][INFO] - 0.004392541462872934
[2024-07-08 09:27:46,215][root][INFO] - 0.0001307762074742591
[2024-07-08 09:27:46,215][root][INFO] - 0.005491334925102231
[2024-07-08 09:27:46,215][root][INFO] - 0.00019476611643964858
[2024-07-08 09:27:46,215][root][INFO] - 0.005749282249502108
[2024-07-08 09:27:46,215][root][INFO] - 0.0002612042332332809
[2024-07-08 09:27:46,215][root][INFO] - 0.000827883691372433
[2024-07-08 09:27:46,216][root][INFO] - 6.794917729635586e-05
[2024-07-08 09:27:46,216][root][INFO] - 0.007992320248984996
[2024-07-08 09:27:46,216][root][INFO] - 0.0003059954052477831
[2024-07-08 09:27:46,217][root][INFO] - 0.006598893834761532
[2024-07-08 09:27:46,217][root][INFO] - 0.00030681175984792475
[2024-07-08 09:27:46,217][root][INFO] - 0.008168512864946242
[2024-07-08 09:27:46,217][root][INFO] - 0.0003250951247690814
[2024-07-08 09:27:46,217][root][INFO] - 0.009282702360398076
[2024-07-08 09:27:46,218][root][INFO] - 0.00021029115858994807
[2024-07-08 09:27:46,218][root][INFO] - 0.0009492262959782671
[2024-07-08 09:27:46,218][root][INFO] - 0.0002189910966234887
[2024-07-08 09:27:46,218][root][INFO] - 0.014175789160653762
[2024-07-08 09:27:46,219][root][INFO] - 3.213888563458056e-05
[2024-07-08 09:27:46,219][root][INFO] - 0.0027099130606873523
[2024-07-08 09:27:46,219][root][INFO] - 0.0027522846623840858
[2024-07-08 09:27:46,219][root][INFO] - 1.5016576740078946e-05
[2024-07-08 09:27:46,220][root][INFO] - 0.00032669212086477994
[2024-07-08 09:27:46,220][root][INFO] - 0.027245706324975583
[2024-07-08 09:27:46,220][root][INFO] - 0.000491898832186477
